state_name_harmonized,daly_rate,death_rate,Incidence,Prevalence,yld_rate,yll_rate,z_yld_rate,z_death_rate,hdbi_z,rank_yld,rank_death,hdbi_rank,hdbi_direction,cause_group,year
Arunachal Pradesh,782.3553254065861,12.14720710480072,119.40232001855,286.19944117186,16.00152927718,713.3831624533484,0.11576310072614178,-0.026480307773466112,0.1422434084996079,14.0,16.0,-2.0,balanced,self_harm,2021
Bihar,314.86043862919973,5.364016576633196,56.59215587554,147.52986329401,8.6966359766,306.1638026526014,-0.9414307183745753,-1.0146274909601802,0.07319677258560497,25.0,26.0,-1.0,balanced,self_harm,2021
Mizoram,257.4883103945116,4.5378346566385055,53.16835252354,151.24078863836002,7.713468031380001,233.47628111189945,-1.0837187754420219,-1.1349822611310088,0.051263485688986865,29.0,27.0,2.0,balanced,self_harm,2021
Delhi,302.1767483692439,5.488764786552825,51.52507813627,155.13686193219,7.915353781369999,281.8311396741567,-1.0545010499706597,-0.9964546869193996,-0.0580463630512601,27.0,25.0,2.0,balanced,self_harm,2021
Tripura,1216.668000153206,22.335237839496266,144.85773859522,455.57836867548,24.72154769898,1191.9464524542195,1.3777595733151922,1.4576699355234355,-0.07991036220824332,4.0,3.0,1.0,balanced,self_harm,2021
Jharkhand,606.5190402321266,10.477624863094928,78.30650283784999,212.21208866642,12.16204324237,594.3569969897529,-0.4399029080028791,-0.2696981537692839,-0.1702047542335952,22.0,19.0,3.0,balanced,self_harm,2021
Uttar Pradesh,737.4877128077732,12.854812137502837,97.91901699665002,256.33334333765004,14.5390997368,686.8650351799902,-0.09588564037693256,0.07660067115080296,-0.17248631152773553,19.0,14.0,5.0,balanced,self_harm,2021
Meghalaya,400.9920082768508,6.713588174874924,59.80361192522,147.61154568163,8.34238619122,392.6496220856277,-0.9926991857034212,-0.8180274739366836,-0.17467171176673757,26.0,24.0,2.0,balanced,self_harm,2021
Assam,684.1163791725979,12.809999116717554,85.90433674438,242.65070574064,14.1987901128,41.105583387621365,-0.14513663094851625,0.07007249534987538,-0.21520912629839162,20.0,15.0,5.0,balanced,self_harm,2021
Haryana,811.7498083184779,14.760559017720755,97.01472120825,291.12703879339,15.54184792914,796.2079603893347,0.04923614955695908,0.3542220063815176,-0.3049858568245585,15.0,11.0,4.0,balanced,self_harm,2021
Chhattisgarh,896.2371643778898,17.451109299751163,103.65852272301,305.44025185227,18.244033501,950.5747719473594,0.440307417416095,0.7461702601376746,-0.3058628427215796,8.0,8.0,0.0,balanced,self_harm,2021
Odisha,837.6194468946051,16.161843866165754,88.56046608493,19.44650920173,16.92608890253,820.6933579920741,0.2495691237699673,0.5583553961312546,-0.3087862723612873,10.0,10.0,0.0,balanced,self_harm,2021
Madhya Pradesh,850.7725533128169,16.209674914536436,102.14108209847,297.20833565772,16.523632076349998,834.2489212364603,0.1913239377576529,0.5653232257270902,-0.37399928796943727,11.0,9.0,2.0,balanced,self_harm,2021
Gujarat,913.3078837661296,18.168435315714497,94.62437840576,295.62858137334,16.19972681984,897.1081569462865,0.14444705385718382,0.8506673517580989,-0.7062202979009151,13.0,6.0,7.0,mortality_prominent,self_harm,2021
Telangana,1358.062779248777,29.60314058824237,145.48898358155998,416.22402082021,23.66660096614,1474.267137178541,1.2250833986542438,2.516427993258338,-1.2913445946040942,6.0,1.0,5.0,mortality_prominent,self_harm,2021
Punjab,27.277784832232747,7.215601672302336,67.86558641555999,218.01221702131,0.7051299807,391.9675609686686,-2.0979939146502815,-0.7448962208272978,-1.3530976938229837,31.0,23.0,8.0,mortality_prominent,self_harm,2021
Karnataka,1301.8421931846851,22.634256769611667,138.20493534778,441.04210409744,1.2175202954,1277.647043533177,-2.023838707807643,1.501229778385886,-3.525068486193529,30.0,2.0,28.0,mortality_prominent,self_harm,2021
